$IAG
            IAG        Japan  ChinaSouth    ChinaEast       Latam      Delta      United     American   Lufthansa AirFranceKLM
 [9,] 0.0058283672 0.0027581816 1.816956e-02 0.9372679 4.307061e-03 0.0048924140 0.007131700 0.011298638 0.0033006368 0.0050455680
[10,] 0.0033647162 0.0018006066 4.506086e-01 0.5234851 2.642379e-03 0.0029520532 0.004017020 0.006309163 0.0019266435 0.0028936846
[11,] 0.0053717311 0.0017946139 4.498243e-01 0.5213634 2.975561e-03 0.0030734738 0.004243708 0.006291462 0.0021049859 0.0029567527
[12,] 0.0057568338 0.0017858550 4.480730e-01 0.5188189 3.075508e-03 0.0039273880 0.004305852 0.006306299 0.0048282136 0.0031221941
[13,] 0.0067669105 0.0020760512 4.464143e-01 0.5169102 3.167390e-03 0.0040216401 0.005036400 0.006610213 0.0056506364 0.0033462299
[14,] 0.0070617424 0.0023382810 4.456437e-01 0.5160889 3.205831e-03 0.0045420311 0.005069660 0.007052247 0.0056593278 0.0033382547
[15,] 0.0070579092 0.0025284932 4.445769e-01 0.5150246 3.202226e-03 0.0051078656 0.005072104 0.007405926 0.0066875386 0.0033363620
[16,] 0.0070656841 0.0025267379 4.448040e-01 0.5131510 3.190517e-03 0.0055188299 0.005077200 0.007904552 0.0068590181 0.0039024742
[17,] 0.0076935760 0.0025235449 4.426918e-01 0.5113156 3.174806e-03 0.0055584662 0.005904267 0.008131748 0.0082356750 0.0047705596
[18,] 0.0077481177 0.0025203935 4.424382e-01 0.5106633 3.259015e-03 0.0060972476 0.006088460 0.008121586 0.0082965125 0.0047672149
[19,] 0.0078177832 0.0025570136 4.403874e-01 0.5082684 3.272728e-03 0.0063705002 0.007100103 0.009259119 0.0101102685 0.0048567150
[20,] 0.0078845478 0.0025564870 4.402211e-01 0.5080544 3.273267e-03 0.0064480423 0.007259165 0.009275858 0.0101721647 0.0048549991
[21,] 0.0079007365 0.0025670835 4.401338e-01 0.5079538 3.272873e-03 0.0065473635 0.007257767 0.009286462 0.0102254974 0.0048545980
[22,] 0.0079469643 0.0025667136 4.401310e-01 0.5078336 3.311065e-03 0.0065465553 0.007277444 0.009301966 0.0102314601 0.0048532773
[23,] 0.0079497737 0.0025678105 4.401371e-01 0.5077654 3.310889e-03 0.0065604459 0.007290638 0.009320863 0.0102308579 0.0048662512
[24,] 0.0079577520 0.0025715404 4.401756e-01 0.5076189 3.328352e-03 0.0065805361 0.007299355 0.009321254 0.0102782542 0.0048684613
[25,] 0.0079599037 0.0026287806 4.401495e-01 0.5075286 3.329505e-03 0.0065958052 0.007308132 0.009322126 0.0102777574 0.0048999515
[26,] 0.0079547791 0.0026283386 4.404673e-01 0.5072019 3.328568e-03 0.0066049532 0.007313135 0.009317998 0.0102743361 0.0049087411
[27,] 0.0079538423 0.0026280985 4.405287e-01 0.5071225 3.328075e-03 0.0066042284 0.007331644 0.009319235 0.0102731094 0.0049106421
[28,] 0.0079581370 0.0026303018 4.405928e-01 0.5070264 3.329576e-03 0.0066120419 0.007330460 0.009319762 0.0102884718 0.0049120205
[29,] 0.0079582539 0.0026302885 4.405840e-01 0.5070172 3.331287e-03 0.0066119026 0.007333642 0.009320519 0.0102910219 0.0049219337
[30,] 0.0079603730 0.0026326677 4.405841e-01 0.5070068 3.331214e-03 0.0066119034 0.007337024 0.009320478 0.0102913530 0.0049240798
[31,] 0.0079605961 0.0026325731 4.405916e-01 0.5069875 3.331348e-03 0.0066117212 0.007336958 0.009322497 0.0103012730 0.0049240076
